,,,,,,04 April 2026,,,
Emiten,Perusahaan,H-1,Open,Close,Penurunan,Emiten,Penurunan,,https://lembarsaham.com/
NSSS,NSSS^Nusantara Sawit Sejahtera Tbk.^,940,930,800,-0.14893617021276595,NSSS^Nusantara Sawit Sejahtera Tbk.^,-0.14893617021276595,,
DATA,DATA^Remala Abadi Tbk.^,2560,2230,2180,-0.1484375,DATA^Remala Abadi Tbk.^,-0.1484375,,
FWCT,FWCT^Wijaya Cahaya Timber Tbk.^,108,96,92,-0.14814814814814814,FWCT^Wijaya Cahaya Timber Tbk.^,-0.14814814814814814,,
ATAP,ATAP^Trimitra Prawara Goldland Tbk.^,535,470,456,-0.14766355140186915,ATAP^Trimitra Prawara Goldland Tbk.^,-0.14766355140186915,,
TALF,TALF^Tunas Alfin Tbk.^,790,780,675,-0.14556962025316456,TALF^Tunas Alfin Tbk.^,-0.14556962025316456,,
DEFI,DEFI^Danasupra Erapacific Tbk.^,69,70,60,-0.13043478260869568,DEFI^Danasupra Erapacific Tbk.^,-0.13043478260869568,,
BREN,BREN^Barito Renewables Energy Tbk.^,5500,5475,4800,-0.12727272727272732,BREN^Barito Renewables Energy Tbk.^,-0.12727272727272732,,
BRPT,BRPT^Barito Pacific Tbk.^,1460,1435,1280,-0.12328767123287676,BRPT^Barito Pacific Tbk.^,-0.12328767123287676,,
IKPM,IKPM^Ikapharmindo Putramas Tbk.^,236,236,210,-0.11016949152542377,IKPM^Ikapharmindo Putramas Tbk.^,-0.11016949152542377,,
BUVA,BUVA^Bukit Uluwatu Villa Tbk.^,1100,1035,980,-0.10909090909090913,BUVA^Bukit Uluwatu Villa Tbk.^,-0.10909090909090913,,
