Tanggal,Kurs,Tanggal,24 May 2024
Thu May 23 2019 00:00:00 GMT+0700 (Western Indonesia Time),14513,23 May 2019,14513
Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),14451,24 May 2019,14451
Mon May 27 2019 00:00:00 GMT+0700 (Western Indonesia Time),14360,27 May 2019,14360
Tue May 28 2019 00:00:00 GMT+0700 (Western Indonesia Time),14380,28 May 2019,14380
Wed May 29 2019 00:00:00 GMT+0700 (Western Indonesia Time),14417,29 May 2019,14417
Fri May 31 2019 00:00:00 GMT+0700 (Western Indonesia Time),14385,31 May 2019,14385
Mon Jun 10 2019 00:00:00 GMT+0700 (Western Indonesia Time),14231,10 June 2019,14231
Tue Jun 11 2019 00:00:00 GMT+0700 (Western Indonesia Time),14258,11 June 2019,14258
Wed Jun 12 2019 00:00:00 GMT+0700 (Western Indonesia Time),14234,12 June 2019,14234
Thu Jun 13 2019 00:00:00 GMT+0700 (Western Indonesia Time),14270,13 June 2019,14270
Fri Jun 14 2019 00:00:00 GMT+0700 (Western Indonesia Time),14304,14 June 2019,14304
Mon Jun 17 2019 00:00:00 GMT+0700 (Western Indonesia Time),14346,17 June 2019,14346
Tue Jun 18 2019 00:00:00 GMT+0700 (Western Indonesia Time),14334,18 June 2019,14334
Wed Jun 19 2019 00:00:00 GMT+0700 (Western Indonesia Time),14271,19 June 2019,14271
Thu Jun 20 2019 00:00:00 GMT+0700 (Western Indonesia Time),14236,20 June 2019,14236
Fri Jun 21 2019 00:00:00 GMT+0700 (Western Indonesia Time),14116,21 June 2019,14116
Mon Jun 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),14165,24 June 2019,14165
Tue Jun 25 2019 00:00:00 GMT+0700 (Western Indonesia Time),14138,25 June 2019,14138
Wed Jun 26 2019 00:00:00 GMT+0700 (Western Indonesia Time),14174,26 June 2019,14174
Thu Jun 27 2019 00:00:00 GMT+0700 (Western Indonesia Time),14180,27 June 2019,14180
Fri Jun 28 2019 00:00:00 GMT+0700 (Western Indonesia Time),14141,28 June 2019,14141
Mon Jul 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),14117,01 July 2019,14117
Tue Jul 02 2019 00:00:00 GMT+0700 (Western Indonesia Time),14140,02 July 2019,14140
Wed Jul 03 2019 00:00:00 GMT+0700 (Western Indonesia Time),14160,03 July 2019,14160
Thu Jul 04 2019 00:00:00 GMT+0700 (Western Indonesia Time),14106,04 July 2019,14106
Fri Jul 05 2019 00:00:00 GMT+0700 (Western Indonesia Time),14148,05 July 2019,14148
Mon Jul 08 2019 00:00:00 GMT+0700 (Western Indonesia Time),14147,08 July 2019,14147
Tue Jul 09 2019 00:00:00 GMT+0700 (Western Indonesia Time),14129,09 July 2019,14129
Wed Jul 10 2019 00:00:00 GMT+0700 (Western Indonesia Time),14152,10 July 2019,14152
Thu Jul 11 2019 00:00:00 GMT+0700 (Western Indonesia Time),14089,11 July 2019,14089
Fri Jul 12 2019 00:00:00 GMT+0700 (Western Indonesia Time),14085,12 July 2019,14085
Mon Jul 15 2019 00:00:00 GMT+0700 (Western Indonesia Time),13970,15 July 2019,13970
Tue Jul 16 2019 00:00:00 GMT+0700 (Western Indonesia Time),13925,16 July 2019,13925
Wed Jul 17 2019 00:00:00 GMT+0700 (Western Indonesia Time),13949,17 July 2019,13949
Thu Jul 18 2019 00:00:00 GMT+0700 (Western Indonesia Time),13976,18 July 2019,13976
Fri Jul 19 2019 00:00:00 GMT+0700 (Western Indonesia Time),13913,19 July 2019,13913
Mon Jul 22 2019 00:00:00 GMT+0700 (Western Indonesia Time),13963,22 July 2019,13963
Tue Jul 23 2019 00:00:00 GMT+0700 (Western Indonesia Time),13973,23 July 2019,13973
Wed Jul 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),14011,24 July 2019,14011
Thu Jul 25 2019 00:00:00 GMT+0700 (Western Indonesia Time),13986,25 July 2019,13986
Fri Jul 26 2019 00:00:00 GMT+0700 (Western Indonesia Time),14001,26 July 2019,14001
Mon Jul 29 2019 00:00:00 GMT+0700 (Western Indonesia Time),14010,29 July 2019,14010
Tue Jul 30 2019 00:00:00 GMT+0700 (Western Indonesia Time),14034,30 July 2019,14034
Wed Jul 31 2019 00:00:00 GMT+0700 (Western Indonesia Time),14026,31 July 2019,14026
Thu Aug 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),14098,01 August 2019,14098
Fri Aug 02 2019 00:00:00 GMT+0700 (Western Indonesia Time),14203,02 August 2019,14203
Mon Aug 05 2019 00:00:00 GMT+0700 (Western Indonesia Time),14231,05 August 2019,14231
Tue Aug 06 2019 00:00:00 GMT+0700 (Western Indonesia Time),14344,06 August 2019,14344
Wed Aug 07 2019 00:00:00 GMT+0700 (Western Indonesia Time),14275,07 August 2019,14275
Thu Aug 08 2019 00:00:00 GMT+0700 (Western Indonesia Time),14231,08 August 2019,14231
Fri Aug 09 2019 00:00:00 GMT+0700 (Western Indonesia Time),14195,09 August 2019,14195
Mon Aug 12 2019 00:00:00 GMT+0700 (Western Indonesia Time),14220,12 August 2019,14220
Tue Aug 13 2019 00:00:00 GMT+0700 (Western Indonesia Time),14283,13 August 2019,14283
Wed Aug 14 2019 00:00:00 GMT+0700 (Western Indonesia Time),14234,14 August 2019,14234
Thu Aug 15 2019 00:00:00 GMT+0700 (Western Indonesia Time),14296,15 August 2019,14296
Fri Aug 16 2019 00:00:00 GMT+0700 (Western Indonesia Time),14258,16 August 2019,14258
Mon Aug 19 2019 00:00:00 GMT+0700 (Western Indonesia Time),14203,19 August 2019,14203
Tue Aug 20 2019 00:00:00 GMT+0700 (Western Indonesia Time),14262,20 August 2019,14262
Wed Aug 21 2019 00:00:00 GMT+0700 (Western Indonesia Time),14259,21 August 2019,14259
Thu Aug 22 2019 00:00:00 GMT+0700 (Western Indonesia Time),14234,22 August 2019,14234
Fri Aug 23 2019 00:00:00 GMT+0700 (Western Indonesia Time),14249,23 August 2019,14249
Mon Aug 26 2019 00:00:00 GMT+0700 (Western Indonesia Time),14261,26 August 2019,14261
Tue Aug 27 2019 00:00:00 GMT+0700 (Western Indonesia Time),14235,27 August 2019,14235
Wed Aug 28 2019 00:00:00 GMT+0700 (Western Indonesia Time),14263,28 August 2019,14263
Thu Aug 29 2019 00:00:00 GMT+0700 (Western Indonesia Time),14254,29 August 2019,14254
Fri Aug 30 2019 00:00:00 GMT+0700 (Western Indonesia Time),14237,30 August 2019,14237
Mon Sep 02 2019 00:00:00 GMT+0700 (Western Indonesia Time),14190,02 September 2019,14190
Tue Sep 03 2019 00:00:00 GMT+0700 (Western Indonesia Time),14217,03 September 2019,14217
Wed Sep 04 2019 00:00:00 GMT+0700 (Western Indonesia Time),14218,04 September 2019,14218
Thu Sep 05 2019 00:00:00 GMT+0700 (Western Indonesia Time),14153,05 September 2019,14153
Fri Sep 06 2019 00:00:00 GMT+0700 (Western Indonesia Time),14140,06 September 2019,14140
Mon Sep 09 2019 00:00:00 GMT+0700 (Western Indonesia Time),14092,09 September 2019,14092
Tue Sep 10 2019 00:00:00 GMT+0700 (Western Indonesia Time),14031,10 September 2019,14031
Wed Sep 11 2019 00:00:00 GMT+0700 (Western Indonesia Time),14063,11 September 2019,14063
Thu Sep 12 2019 00:00:00 GMT+0700 (Western Indonesia Time),14052,12 September 2019,14052
Fri Sep 13 2019 00:00:00 GMT+0700 (Western Indonesia Time),13950,13 September 2019,13950
Mon Sep 16 2019 00:00:00 GMT+0700 (Western Indonesia Time),14020,16 September 2019,14020
Tue Sep 17 2019 00:00:00 GMT+0700 (Western Indonesia Time),14100,17 September 2019,14100
Wed Sep 18 2019 00:00:00 GMT+0700 (Western Indonesia Time),14080,18 September 2019,14080
Thu Sep 19 2019 00:00:00 GMT+0700 (Western Indonesia Time),14099,19 September 2019,14099
Fri Sep 20 2019 00:00:00 GMT+0700 (Western Indonesia Time),14085,20 September 2019,14085
Mon Sep 23 2019 00:00:00 GMT+0700 (Western Indonesia Time),14077,23 September 2019,14077
Tue Sep 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),14099,24 September 2019,14099
Wed Sep 25 2019 00:00:00 GMT+0700 (Western Indonesia Time),14134,25 September 2019,14134
Thu Sep 26 2019 00:00:00 GMT+0700 (Western Indonesia Time),14162,26 September 2019,14162
Fri Sep 27 2019 00:00:00 GMT+0700 (Western Indonesia Time),14197,27 September 2019,14197
Mon Sep 30 2019 00:00:00 GMT+0700 (Western Indonesia Time),14174,30 September 2019,14174
Tue Oct 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),14196,01 October 2019,14196
Wed Oct 02 2019 00:00:00 GMT+0700 (Western Indonesia Time),14207,02 October 2019,14207
Thu Oct 03 2019 00:00:00 GMT+0700 (Western Indonesia Time),14193,03 October 2019,14193
Fri Oct 04 2019 00:00:00 GMT+0700 (Western Indonesia Time),14135,04 October 2019,14135
Mon Oct 07 2019 00:00:00 GMT+0700 (Western Indonesia Time),14156,07 October 2019,14156
Tue Oct 08 2019 00:00:00 GMT+0700 (Western Indonesia Time),14170,08 October 2019,14170
Wed Oct 09 2019 00:00:00 GMT+0700 (Western Indonesia Time),14182,09 October 2019,14182
Thu Oct 10 2019 00:00:00 GMT+0700 (Western Indonesia Time),14157,10 October 2019,14157
Fri Oct 11 2019 00:00:00 GMT+0700 (Western Indonesia Time),14139,11 October 2019,14139
Mon Oct 14 2019 00:00:00 GMT+0700 (Western Indonesia Time),14126,14 October 2019,14126
Tue Oct 15 2019 00:00:00 GMT+0700 (Western Indonesia Time),14140,15 October 2019,14140
Wed Oct 16 2019 00:00:00 GMT+0700 (Western Indonesia Time),14187,16 October 2019,14187
Thu Oct 17 2019 00:00:00 GMT+0700 (Western Indonesia Time),14172,17 October 2019,14172
Fri Oct 18 2019 00:00:00 GMT+0700 (Western Indonesia Time),14140,18 October 2019,14140
Mon Oct 21 2019 00:00:00 GMT+0700 (Western Indonesia Time),14132,21 October 2019,14132
Tue Oct 22 2019 00:00:00 GMT+0700 (Western Indonesia Time),14058,22 October 2019,14058
Wed Oct 23 2019 00:00:00 GMT+0700 (Western Indonesia Time),14051,23 October 2019,14051
