Tanggal,Sekuritas,Opinion,Opini Sekuritas,Support,Resistance,Pivot,Opininion Direction,Act. change,Act. direction,hit,,
Mon Feb 26 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG berpotensi melemah terbatas,Phintraco Sekuritas^IHSG berpotensi melemah terbatas^,7250,7370,,-1,-0.1546243368836686,-1,1,,0.36923076923076925
Mon Feb 26 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG berpotensi dalam posisi rawan koreksi,MNC Sekuritas^IHSG berpotensi dalam posisi rawan koreksi^,7202,7234,,-1,-0.1546243368836686,-1,1,,
Tue Mar 05 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG cenderung bergerak sideways,Phintraco Sekuritas^IHSG cenderung bergerak sideways^,7250,7350,7330,0,-0.4025148589686278,-1,0,,
Tue Mar 05 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG masih dalam tren pelemahan dengan menguji level 7.202 -7.234,MNC Sekuritas^IHSG masih dalam tren pelemahan dengan menguji level 7.202 -7.234^,,,,-1,-0.4025148589686278,-1,1,,
Wed Mar 06 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,,BRI Danareksa Sekuritas^^,7235,7400,,0,,1,0,,
Thu Mar 07 2024 00:00:00 GMT+0700 (Indochina Time),Mandiri Sekuritas,IHSG hari ini diprediksi bergerak dalam rentang support 7.270 dan resistance 7.380.,Mandiri Sekuritas^IHSG hari ini diprediksi bergerak dalam rentang support 7.270 dan resistance 7.380.^,7270,7380,,-1,0.6024721001937294,1,0,,
Thu Mar 07 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,"IHSG masih trend bullish. Saat ini, IHSG mulai membentuk pattern bullish, jika berhasil breakout resisten 7.365.","BRI Danareksa Sekuritas^IHSG masih trend bullish. Saat ini, IHSG mulai membentuk pattern bullish, jika berhasil breakout resisten 7.365.^",,7365,,1,0.6024721001937294,1,1,,
Fri Mar 08 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,"IHSG sedang membentuk pattern bullish pennant, namun pemodal disarankan untuk mewaspadai penurunan, apabila indeks turun di bawah support.","BRI Danareksa Sekuritas^IHSG sedang membentuk pattern bullish pennant, namun pemodal disarankan untuk mewaspadai penurunan, apabila indeks turun di bawah support.^",7238,7400,,1,0.10781181346251056,1,1,,
Wed Mar 13 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,Short term (1-2 days) bearish,MNC Sekuritas^Short term (1-2 days) bearish^,7500,7617,,-1,0.5323825405620042,1,0,,
Wed Mar 13 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,"IHSG rawan profit taking, waspadai pivot level 7,350","Phintraco Sekuritas^IHSG rawan profit taking, waspadai pivot level 7,350^",7300,7430,,-1,0.5323825405620042,1,0,,
Thu Mar 14 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,"IHSG berpeluang mengalami koreksi, seiring potensi aksi profit taking yang dilakukan pelaku pasar.","RHB Sekuritas^IHSG berpeluang mengalami koreksi, seiring potensi aksi profit taking yang dilakukan pelaku pasar.^",7300,7500,,-1,0.16304618788580694,1,0,,
Thu Mar 14 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG berpeluang melanjutkan penguatan untuk menguji level psikologis 7.500,MNC Sekuritas^IHSG berpeluang melanjutkan penguatan untuk menguji level psikologis 7.500^,7197,7492,,1,0.16304618788580694,1,1,,
Fri Mar 15 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG berpeluang menguat,MNC Sekuritas^IHSG berpeluang menguat^,7198,7493,,1,-1.4160582566851154,-1,0,,
Fri Mar 15 2024 00:00:00 GMT+0700 (Indochina Time),Sinarmas Sekuritas,IHSG masih berpeluang lanjutkan rally,Sinarmas Sekuritas^IHSG masih berpeluang lanjutkan rally^,7334,7500,,1,-1.4160582566851154,-1,0,,
Mon Mar 18 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,"IHSG masih berpeluang menguat untuk menguji 7,500-7,617.","MNC Sekuritas^IHSG masih berpeluang menguat untuk menguji 7,500-7,617.^",7197,7492,,1,-0.3493425945510831,-1,0,,
Mon Mar 18 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG masih memiliki kekuatan untuk melanjutkan kenaikan ke level 7.600,BRI Danareksa Sekuritas^IHSG masih memiliki kekuatan untuk melanjutkan kenaikan ke level 7.600^,,,,1,-0.35,-1,0,,
